name,username,password,role,department,semester,section,email
Student_6J,2024030,12345,student,IT,3,IT-3,student6j@college.edu
Student_7A,2023001,12345,student,IT,5,IT-1,student7a@college.edu
Student_7B,2023002,12345,student,IT,5,IT-1,student7b@college.edu
Student_7C,2023003,12345,student,IT,5,IT-1,student7c@college.edu
Student_7D,2023004,12345,student,IT,5,IT-1,student7d@college.edu
Student_7E,2023005,12345,student,IT,5,IT-1,student7e@college.edu
Student_7F,2023006,12345,student,IT,5,IT-1,student7f@college.edu
Student_7G,2023007,12345,student,IT,5,IT-1,student7g@college.edu
Student_7H,2023008,12345,student,IT,5,IT-1,student7h@college.edu
Student_7I,2023009,12345,student,IT,5,IT-1,student7i@college.edu
Student_7J,2023010,12345,student,IT,5,IT-1,student7j@college.edu
Student_8A,2023011,12345,student,IT,5,IT-2,student8a@college.edu
Student_8B,2023012,12345,student,IT,5,IT-2,student8b@college.edu
Student_8C,2023013,12345,student,IT,5,IT-2,student8c@college.edu
Student_8D,2023014,12345,student,IT,5,IT-2,student8d@college.edu
Student_8E,2023015,12345,student,IT,5,IT-2,student8e@college.edu
Student_8F,2023016,12345,student,IT,5,IT-2,student8f@college.edu
Student_8G,2023017,12345,student,IT,5,IT-2,student8g@college.edu
Student_8H,2023018,12345,student,IT,5,IT-2,student8h@college.edu
Student_8I,2023019,12345,student,IT,5,IT-2,student8i@college.edu
Student_8J,2023020,12345,student,IT,5,IT-2,student8j@college.edu
Student_9A,2023021,12345,student,IT,5,IT-3,student9a@college.edu
Student_9B,2023022,12345,student,IT,5,IT-3,student9b@college.edu
Student_9C,2023023,12345,student,IT,5,IT-3,student9c@college.edu
Student_9D,2023024,12345,student,IT,5,IT-3,student9d@college.edu
Student_9E,2023025,12345,student,IT,5,IT-3,student9e@college.edu
Student_9F,2023026,12345,student,IT,5,IT-3,student9f@college.edu
Student_9G,2023027,12345,student,IT,5,IT-3,student9g@college.edu
Student_9H,2023028,12345,student,IT,5,IT-3,student9h@college.edu
Student_9I,2023029,12345,student,IT,5,IT-3,student9i@college.edu
Student_9J,2023030,12345,student,IT,5,IT-3,student9j@college.edu
Student_10A,2022001,12345,student,IT,7,IT-1,student10a@college.edu
Student_10B,2022002,12345,student,IT,7,IT-1,student10b@college.edu
Student_10C,2022003,12345,student,IT,7,IT-1,student10c@college.edu
Student_10D,2022004,12345,student,IT,7,IT-1,student10d@college.edu
Student_10E,2022005,12345,student,IT,7,IT-1,student10e@college.edu
Student_10F,2022006,12345,student,IT,7,IT-1,student10f@college.edu
Student_10G,2022007,12345,student,IT,7,IT-1,student10g@college.edu
Student_10H,2022008,12345,student,IT,7,IT-1,student10h@college.edu
Student_10I,2022009,12345,student,IT,7,IT-1,student10i@college.edu
Student_10J,2022010,12345,student,IT,7,IT-1,student10j@college.edu
Student_11A,2022011,12345,student,IT,7,IT-2,student11a@college.edu
Student_11B,2022012,12345,student,IT,7,IT-2,student11b@college.edu
Student_11C,2022013,12345,student,IT,7,IT-2,student11c@college.edu
Student_11D,2022014,12345,student,IT,7,IT-2,student11d@college.edu
Student_11E,2022015,12345,student,IT,7,IT-2,student11e@college.edu
Student_11F,2022016,12345,student,IT,7,IT-2,student11f@college.edu
Student_11G,2022017,12345,student,IT,7,IT-2,student11g@college.edu
Student_11H,2022018,12345,student,IT,7,IT-2,student11h@college.edu
Student_11I,2022019,12345,student,IT,7,IT-2,student11i@college.edu
Student_11J,2022020,12345,student,IT,7,IT-2,student11j@college.edu
Student_12A,2022021,12345,student,IT,7,IT-3,student12a@college.edu
Student_12B,2022022,12345,student,IT,7,IT-3,student12b@college.edu
Student_12C,2022023,12345,student,IT,7,IT-3,student12c@college.edu
Student_12D,2022024,12345,student,IT,7,IT-3,student12d@college.edu
Student_12E,2022025,12345,student,IT,7,IT-3,student12e@college.edu
Student_12F,2022026,12345,student,IT,7,IT-3,student12f@college.edu
Student_12G,2022027,12345,student,IT,7,IT-3,student12g@college.edu
Student_12H,2022028,12345,student,IT,7,IT-3,student12h@college.edu
Student_12I,2022029,12345,student,IT,7,IT-3,student12i@college.edu
Student_12J,2022030,12345,student,IT,7,IT-3,student12j@college.edu
